Rk,Date,Tm,Opp,Result,Player,Dist,Good.,Blk.
1,2019-09-09,DEN,OAK,L 16-24,Brandon McManus,64,N,N
1,2019-10-20,DAL,PHI,W 37-10,Brett Maher,63,Y,N
1,2019-09-22,BUF,CIN,W 21-17,Stephen Hauschka,62,N,N
2,2019-10-13,DAL,NYJ,L 22-24,Brett Maher,62,Y,N
1,2019-10-13,CAR,TAM,W 37-26,Joey Slye,60,N,N
1,2019-09-09,NOR,HOU,W 30-28,Wil Lutz,58,Y,N
2,2019-09-15,SEA,PIT,W 28-26,Jason Myers,58,N,N
3,2019-09-29,TAM,LAR,W 55-40,Matt Gay,58,Y,N
4,2019-09-29,LAR,TAM,L 40-55,Greg Zuerlein,58,Y,N
1,2019-09-08,SFO,TAM,W 31-17,Robbie Gould,57,N,N
2,2019-09-29,IND,OAK,L 24-31,Adam Vinatieri,57,N,N
1,2019-09-08,LAR,CAR,W 30-27,Greg Zuerlein,56,Y,N
2,2019-09-09,NOR,HOU,W 30-28,Wil Lutz,56,N,N
3,2019-09-22,HOU,LAC,W 27-20,Ka'imi Fairbairn,56,N,N
4,2019-10-06,CAR,JAX,W 34-27,Joey Slye,56,N,Y
1,2019-09-08,DET,ARI,T 27-27,Matt Prater,55,Y,N
2,2019-09-22,DAL,MIA,W 31-6,Brett Maher,55,N,N
3,2019-09-29,CAR,HOU,W 16-10,Joey Slye,55,Y,N
4,2019-10-06,NYJ,PHI,L 6-31,Sam Ficken,55,N,N
5,2019-10-13,SFO,LAR,W 20-7,Robbie Gould,55,N,N
6,2019-10-13,WAS,MIA,W 17-16,Dustin Hopkins,55,N,N
7,2019-10-20,LAR,ATL,W 37-10,Greg Zuerlein,55,Y,N
8,2019-10-27,IND,DEN,W 15-13,Adam Vinatieri,55,Y,N
1,2019-09-08,MIA,BAL,L 10-59,Jason Sanders,54,Y,N
2,2019-09-12,CAR,TAM,L 14-20,Joey Slye,54,Y,N
3,2019-10-06,DAL,GNB,L 24-34,Brett Maher,54,N,N
4,2019-10-06,DEN,LAC,W 20-13,Brandon McManus,54,N,N
5,2019-10-13,TAM,CAR,L 26-37,Matt Gay,54,Y,N
6,2019-10-14,DET,GNB,L 22-23,Matt Prater,54,Y,N
7,2019-10-27,SEA,ATL,W 27-20,Jason Myers,54,Y,N
1,2019-09-08,TEN,CLE,W 43-13,Cairo Santos,53,Y,N
2,2019-09-08,CAR,LAR,L 27-30,Joey Slye,53,N,N
3,2019-09-15,CHI,DEN,W 16-14,Eddy Pineiro,53,Y,N
4,2019-09-22,LAR,CLE,W 20-13,Greg Zuerlein,53,Y,N
5,2019-09-29,DET,KAN,L 30-34,Matt Prater,53,Y,N
6,2019-10-06,TEN,BUF,L 7-14,Cairo Santos,53,N,N
7,2019-10-13,PHI,MIN,L 20-38,Jake Elliott,53,Y,N
8,2019-10-13,DEN,TEN,W 16-0,Brandon McManus,53,Y,N
9,2019-10-20,SEA,BAL,L 16-30,Jason Myers,53,N,N
10,2019-10-27,ATL,SEA,L 20-27,Matt Bryant,53,N,N
11,2019-10-27,BUF,PHI,L 13-31,Stephen Hauschka,53,N,N
12,2019-10-27,DET,NYG,W 31-26,Matt Prater,53,N,N
1,2019-09-08,CAR,LAR,L 27-30,Joey Slye,52,Y,N
2,2019-09-15,CHI,DEN,W 16-14,Eddy Pineiro,52,Y,N
3,2019-09-15,NOR,LAR,L 9-27,Wil Lutz,52,Y,N
4,2019-09-15,CIN,SFO,L 17-41,Randy Bullock,52,N,N
5,2019-09-22,TAM,NYG,L 31-32,Matt Gay,52,Y,N
6,2019-09-29,HOU,CAR,L 10-16,Ka'imi Fairbairn,52,N,N
7,2019-09-29,MIA,LAC,L 10-30,Jason Sanders,52,N,N
8,2019-10-07,SFO,CLE,W 31-3,Robbie Gould,52,N,N
9,2019-10-20,ATL,LAR,L 10-37,Matt Bryant,52,Y,N
10,2019-10-20,NOR,CHI,W 36-25,Wil Lutz,52,N,N
11,2019-10-27,DET,NYG,W 31-26,Matt Prater,52,Y,N
1,2019-09-12,CAR,TAM,L 14-20,Joey Slye,51,Y,N
2,2019-09-15,BAL,ARI,W 23-17,Justin Tucker,51,Y,N
3,2019-09-22,OAK,MIN,L 14-34,Daniel Carlson,51,N,N
4,2019-09-29,LAC,MIA,W 30-10,Ty Long,51,Y,N
5,2019-10-14,DET,GNB,L 22-23,Matt Prater,51,Y,N
6,2019-10-27,ATL,SEA,L 20-27,Matt Bryant,51,N,N
7,2019-10-27,IND,DEN,W 15-13,Adam Vinatieri,51,Y,N
8,2019-10-27,TEN,TAM,W 27-23,Cody Parkey,51,Y,N
1,2019-09-15,ATL,PHI,W 24-20,Matt Bryant,50,Y,N
2,2019-09-15,ATL,PHI,W 24-20,Matt Bryant,50,N,N
3,2019-09-22,MIN,OAK,W 34-14,Dan Bailey,50,Y,N
4,2019-09-29,MIA,LAC,L 10-30,Jason Sanders,50,N,N
5,2019-10-06,HOU,ATL,W 53-32,Ka'imi Fairbairn,50,Y,N
6,2019-10-06,TEN,BUF,L 7-14,Cairo Santos,50,N,N
7,2019-10-13,DAL,NYJ,L 22-24,Brett Maher,50,Y,N
8,2019-10-13,KAN,HOU,L 24-31,Harrison Butker,50,N,N
9,2019-10-20,ATL,LAR,L 10-37,Matt Bryant,50,N,N
10,2019-10-20,LAC,TEN,L 20-23,Chase McLaughlin,50,Y,N
11,2019-10-24,MIN,WAS,W 19-9,Dan Bailey,50,Y,N
12,2019-10-27,KAN,GNB,L 24-31,Harrison Butker,50,N,N
13,2019-10-27,ARI,NOR,L 9-31,Zane Gonzalez,50,Y,N
1,2019-09-08,LAR,CAR,W 30-27,Greg Zuerlein,49,Y,N
2,2019-09-15,TEN,IND,L 17-19,Cairo Santos,49,Y,N
3,2019-09-22,IND,ATL,W 27-24,Adam Vinatieri,49,Y,N
4,2019-09-29,BUF,NWE,L 10-16,Stephen Hauschka,49,N,N
5,2019-09-30,PIT,CIN,W 27-3,Chris Boswell,49,Y,N
6,2019-10-13,CAR,TAM,W 37-26,Joey Slye,49,Y,N
7,2019-10-13,BAL,CIN,W 23-17,Justin Tucker,49,Y,N
1,2019-09-08,WAS,PHI,L 27-32,Dustin Hopkins,48,Y,N
